,index,Magnitude,U,V,Direction
10780,80163,2.2244298,-0.62684345,-2.1318345,-2.855613181928023
10781,80164,2.2490919999999996,-0.18295343,-2.2337637000000004,-3.05987139898485
10782,80165,1.8587933999999997,0.33139947,-1.8274593000000001,2.962197834152015
10783,80166,1.4959536,0.18018202,-1.4785866,3.0203295658399236
10784,80167,1.8801806,0.10189936,-1.8750023999999998,3.0872998073738875
10785,80168,1.9481148999999998,-0.07187263,-1.9424318999999999,-3.104608161818124
10786,80169,1.7129773999999998,-0.12410171,-1.7063148000000001,-3.0689896506034815
10787,80170,1.7020988000000001,-0.09700432,-1.6982261000000003,-3.084533688357168
10788,80171,1.9493314999999998,-0.13159132,-1.9436841,-3.073993799029387
10789,80172,1.9105526000000002,-0.07318344,-1.9062253,-3.1032196889765444
10790,80173,2.0667273999999995,-0.029236684,-2.0641274,-3.1274294149058472
10791,80174,2.332761,-0.14337195,-2.3268158,-3.080053224360493
10792,80175,2.3552709,-0.070523195,-2.3395933999999996,-3.111458423001632
10793,80176,2.2535112,0.010085329,-2.2456973,3.1371017272311104
10794,80177,2.1983306000000002,-0.21498138,-2.167865,-3.042748496386614
10795,80178,2.0044136000000004,-0.36469182,-1.9583733,-2.957479768970669
10796,80179,1.8994302,0.049139977,-1.8942548,3.1156568828205513
10797,80180,1.8024535,0.11527241,-1.7967090000000001,3.077522935857907
10798,80181,1.9109205000000002,0.029699555,-1.9090778999999998,3.1260368926758773
10799,80182,2.0279768,0.37683356,-1.9874362,2.954209194145683
10800,80183,2.4254990000000003,-0.2879659,-2.3797387999999997,-3.0211707902948985
10801,80184,2.309659,-0.1564906,-2.3007257,-3.073679326807159
10802,80185,2.8212812,-0.201068,-2.8098788,-3.070156881251343
10803,80186,3.2784145,-0.74452406,-3.1885178,-2.912201132265572
10804,80187,2.8397853,-0.72227514,-2.7445529,-2.8842606319902364
10805,80188,2.9122775,-0.6888969,-2.821609,-2.9021270506566474
10806,80189,3.027488,-0.09980304,-3.023472,-3.108595220670596
10807,80190,2.703696,0.17291947,-2.6974678,3.0775758786936938
10808,80191,2.4338021,0.21094888,-2.4239185,3.054783332247315
10809,80192,2.5143714,0.15161645,-2.5095267000000003,3.081249649698023
10810,80193,2.6037672,0.23441958,-2.5921376,3.0514031382560645
10811,80194,2.576981,0.22237216,-2.5666807,3.055170424951082
10812,80195,2.4807900000000003,0.3658183,-2.4528844,2.993545833674382
10813,80196,2.4314082000000004,0.46471488,-2.3860908,2.9492406611584645
10814,80197,2.4451447,0.48776785,-2.3945583999999998,2.9406434280834675
10815,80198,2.4059215,0.46936893,-2.3591857000000003,2.945203269571015
10816,80199,2.2649033,0.40777773,-2.2269804,2.9604909794377954
10817,80200,2.1420176,0.40731224,-2.102018,2.950192660655728
10818,80201,2.030948,0.32202047,-2.0045059,2.982305335281512
10819,80202,2.0308793,0.2613127,-2.0128833999999998,3.0124945756864547
10820,80203,2.0324134999999997,0.21707068,-2.02019,3.0345527150433362
10821,80204,1.9675199,0.27347994,-1.9479856,3.0021131011727857
10822,80205,1.8595997,0.19642663,-1.8484875,3.0357265037307113
10823,80206,1.7374061,0.21680088,-1.7208582,3.0162687546587916
10824,80207,1.6157538999999999,0.30730334,-1.5856776000000001,2.9501662727782554
10825,80208,1.5053792,0.20802714,-1.4901505,3.0028876421523494
10826,80209,1.2633054,0.24157515,-1.2360379,2.9485824879422045
10827,80210,1.6013826,0.51169074,-1.5115201,2.8151748821241256
10828,80211,1.7982631999999998,0.41136327,-1.7470536,2.9103437113164636
10829,80212,1.9114949,0.39000288,-1.8690988999999998,2.935885896712487
10830,80213,1.983454,0.73643315,-1.8404029999999998,2.76095889801256
10831,80214,2.3131409,0.6175801,-2.2251902,2.8708662230007516
10832,80215,2.904035,0.7734211999999999,-2.792495,2.8714012414419785
10833,80216,2.9767535,0.72701657,-2.8829234,2.8945629716856422
10834,80217,2.6877402999999997,0.56512815,-2.6227543,2.929366107369455
10835,80218,2.4528859,0.39481977,-2.4197059,2.9798495213891893
10836,80219,2.5529306,0.62819046,-2.4713955000000003,2.8926795200617432
10837,80220,2.5123057,0.8773523000000001,-2.3522662999999997,2.7845926186883805
10838,80221,2.5948856,0.78564686,-2.4708805,2.8337392176932625
10839,80222,2.5393220000000003,0.57787985,-2.4721029,2.9119557093336703
10840,80223,2.3844522999999995,0.6804878000000001,-2.2841642,2.852049388035245
10841,80224,2.2567909999999998,0.6286381,-2.1671336,2.859263148006639
10842,80225,2.1619554,0.58930385,-2.0789182,2.8653722857853445
10843,80226,2.1021857,0.5076107,-2.037517,2.8974310915209327
10844,80227,2.1980975,0.5409483,-2.1293674,2.892813587937684
10845,80228,2.1659355,0.49111563,-2.105656,2.912452648413331
10846,80229,2.2014215,0.6330607,-2.1071699,2.849739822952722
10847,80230,2.0781389999999997,0.28384146,-2.0558548,3.0043950807184663
10848,80231,2.1870444,0.2258822,-2.1711226000000003,3.0379262575493278
10849,80232,2.5429258,0.35210308,-2.5165043,3.0025775921849562
10850,80233,2.1535007999999998,0.39131865,-2.1139438,2.9585515506346542
10851,80234,2.160582,0.15524983,-2.1533860000000002,3.069621497196505
10852,80235,2.2398837000000005,0.19435829999999998,-2.2295387000000004,3.0546382531972234
10853,80236,2.147784,0.36326662,-2.1155162,2.971535794518566
10854,80237,2.042971,0.35390228,-2.0114517,2.9674314638087798
10855,80238,2.0021694,0.37300676,-1.9662448000000001,2.9541153015520805
