Mach,Alpha,CD,CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CL,CN,CN Potential,CN Viscous,CNalpha (0 to 4 deg) (per rad),CP,CP (0 to 4 deg),Reynolds Number
3.87,0,0.7880607784,0.7880607784,0.7578524752,0.7880607784,0.7578524752,0,0,0,0,7.878349353,124.735761,124.2447593,501506000
3.88,0,0.7873642809,0.7873642809,0.7572420968,0.7873642809,0.7572420968,0,0,0,0,7.876374732,124.5834077,124.1019942,502801900
3.89,0,0.7866703406,0.7866703406,0.7566342755,0.7866703406,0.7566342755,0,0,0,0,7.874401429,124.4316276,123.9597705,504097800
3.9,0,0.7859789318,0.7859789318,0.7560289858,0.7859789318,0.7560289858,0,0,0,0,7.872428479,124.2805039,123.8181663,505393600
3.91,0,0.7852900655,0.7852900655,0.7554262385,0.7852900655,0.7554262385,0,0,0,0,7.870456106,124.1299384,123.6770895,506689500
3.92,0,0.7846037035,0.7846037035,0.7548259956,0.7846037035,0.7548259956,0,0,0,0,7.868484622,123.9800309,123.5366335,507985400
3.93,0,0.7839198512,0.7839198512,0.7542282623,0.7839198512,0.7542282623,0,0,0,0,7.866514004,123.8306803,123.3967036,509281300
3.94,0,0.7832384778,0.7832384778,0.753633008,0.7832384778,0.753633008,0,0,0,0,7.864544749,123.6819291,123.2573396,510577200
3.95,0,0.7825595966,0.7825595966,0.7530402459,0.7825595966,0.7530402459,0,0,0,0,7.862574834,123.5337608,123.118526,511873100
3.96,0,0.7818831793,0.7818831793,0.7524499477,0.7818831793,0.7524499477,0,0,0,0,7.860606724,123.3861887,122.9802754,513168900
3.97,0,0.7812092035,0.7812092035,0.7518620909,0.7812092035,0.7518620909,0,0,0,0,7.858640243,123.2392217,122.8425958,514464800
3.98,0,0.7805376663,0.7805376663,0.7512766728,0.7805376663,0.7512766728,0,0,0,0,7.856674827,123.0928415,122.7054703,515760700
3.99,0,0.7798685631,0.7798685631,0.7506936886,0.7798685631,0.7506936886,0,0,0,0,7.854709728,122.9470341,122.5688857,517056600
4,0,0.7792018785,0.7792018785,0.7501131231,0.7792018785,0.7501131231,0,0,0,0,7.852747041,122.8017741,122.4328181,518352400
4.01,0,0.7785375793,0.7785375793,0.7495349429,0.7785375793,0.7495349429,0,0,0,0,7.850783933,122.6571235,122.2973256,519648400
4.02,0,0.7778756839,0.7778756839,0.7489591665,0.7778756839,0.7489591665,0,0,0,0,7.848823525,122.5130219,122.1623516,520944200
4.03,0,0.7772161512,0.7772161512,0.7483857529,0.7772161512,0.7483857529,0,0,0,0,7.846864194,122.3694859,122.0279117,522240100
4.04,0,0.7765589932,0.7765589932,0.747814714,0.7765589932,0.747814714,0,0,0,0,7.844906978,122.2265309,121.8940202,523536000
4.05,0,0.7759041832,0.7759041832,0.747246023,0.7759041832,0.747246023,0,0,0,0,7.842949034,122.0841226,121.760645,524831900
4.06,0,0.7752516999,0.7752516999,0.7466796588,0.7752516999,0.7466796588,0,0,0,0,7.84099468,121.9423529,121.627872,526127700
4.07,0,0.7746015465,0.7746015465,0.7461156245,0.7746015465,0.7461156245,0,0,0,0,7.839041127,121.8010382,121.4955296,527423600
