,Chamber Pressure [psia],O/F Ratio,C-star [m/s],Specific Impulse [s],Chamber Temperature [K],Chamber Density [kg/m^3],Molar Mass [kg/mol],Throat Velocity [m/s],Exit Pressure [psia],gamma,Exit Velocity [m/s],Thrust Coefficient
736,372.54545454545456,2.214141414141414,1377.556644082832,198.75255357450305,3726.260052077809,0.19549940348679956,20.984906929966048,957.3819368553652,9.108791195660848,1.211253611183278,2066.9333067149146,1.5004365853184165
737,382.5050505050505,2.214141414141414,1377.5702938803379,199.59232756709244,3726.4415047432653,0.2007238839553362,20.98572151826006,957.3791684150237,9.358657823033656,1.2111892186635531,2066.9722189897675,1.5004499651636167
738,392.4646464646465,2.214141414141414,1377.5839329974724,200.39006502318946,3726.6214820311016,0.20594832007656858,20.98653383324761,957.3762574386764,9.608686461224647,1.2111269280014851,2067.0115550786377,1.5004636640274123
739,402.42424242424244,2.214141414141414,1377.5975733143619,201.1488769285573,3726.8000666176836,0.21117271369390783,20.987343970911372,957.3732652729467,9.858872507692743,1.2110666742991718,2067.051273819089,1.5004776390809116
740,412.3838383838384,2.214141414141414,1377.6111868600758,201.87157428243583,3726.9773341336136,0.2163970650328624,20.98815201903911,957.3700952333552,10.109212028703196,1.2110081918396693,2067.091329196473,1.500491887379948
741,422.34343434343435,2.214141414141414,1377.6247875458037,202.5607030032714,3727.153353981111,0.22162137480303065,20.988958058393745,957.3668102326416,10.359700913242136,1.2109514421137566,2067.13168646222,1.5005063685416378
742,432.3030303030303,2.214141414141414,1377.6383747575794,203.21857483205758,3727.32818996603,0.22684564367686347,20.989762163367033,957.3634178965222,10.610335369089308,1.2108963221203755,2067.1723115922323,1.5005210585307722
743,442.26262626262627,2.214141414141414,1377.6519618377297,203.84729330452603,3727.5019024966728,0.23206987682684757,20.990564821915363,957.3599249878065,10.861111666262099,1.2108427372231991,2067.213173547504,1.5005359202787665
744,452.22222222222223,2.214141414141414,1377.6655210971603,204.4487777258996,3727.674542618957,0.23729406610249412,20.991365277766196,957.3563384726567,11.112026567881097,1.2107906000496818,2067.254244036196,1.5005509634033527
745,462.1818181818182,2.214141414141414,1377.6790653571647,205.02478145918306,3727.846162073651,0.24251821631857134,20.992163990652756,957.3526640620531,11.363076666981978,1.2107398301599344,2067.2954971496465,1.5005661551291032
746,472.14141414141415,2.214141414141414,1377.6925941933082,205.5769104101606,3728.016807328629,0.24774232802631474,20.99296101520171,957.3489072711202,11.61425880440163,1.2106903531316522,2067.3369091877544,1.5005814787116494
747,482.1010101010101,2.214141414141414,1377.706107212668,206.10663800443547,3728.18652149925,0.2529664017520959,20.993756402212316,957.3450732069113,11.865569954748652,1.2106421000538037,2067.3784584332398,1.5005969188122075
