time,position,velocity,acceleration,g-force,mock,imperial position,imperial velocity,imperial acceleration
25.32000000000116,[   0.         3766.19318691],[ 0.        42.1924597],[ 0.         -3.39615619],0.3461932915392457,0.12301008658892128,[    0.         12356.27725534],[  0.         138.42670948],[  0.         -11.14224507]
25.33000000000116,[   0.         3766.61494179],[ 0.         42.15851577],[ 0.         -3.39439329],0.3460135871559633,0.12291112469387755,[    0.         12357.66096562],[  0.         138.31534488],[  0.         -11.13646128]
25.340000000001158,[   0.         3767.03635732],[ 0.         42.12458944],[ 0.         -3.39263285],0.3458341335372069,0.12281221411078715,[    0.         12359.04356255],[  0.         138.20403802],[  0.         -11.13068556]
25.350000000001163,[   0.         3767.45743367],[ 0.         42.09068069],[ 0.         -3.39087487],0.3456549306829765,0.1227133547813411,[    0.         12360.42504668],[  0.         138.09278883],[  0.         -11.12491791]
25.360000000001165,[   0.         3767.87817102],[ 0.        42.0567895],[ 0.         -3.38911934],0.3454759775739042,0.12261454664723033,[    0.         12361.80541861],[  0.         137.98159726],[  0.        -11.1191583]
25.370000000001173,[   0.         3768.29856954],[ 0.         42.02291584],[ 0.         -3.38736625],0.3452972731906218,0.12251578962099124,[    0.         12363.18467889],[  0.        137.8704632],[  0.         -11.11340669]
25.38000000000117,[   0.         3768.71862942],[ 0.         41.98905968],[ 0.         -3.38561561],0.34511881855249743,0.12241708361516035,[    0.         12364.56282815],[  0.         137.75938656],[  0.         -11.10766312]
25.390000000001173,[   0.         3769.13835083],[ 0.         41.95522101],[ 0.         -3.38386741],0.3449406126401631,0.1223184286005831,[    0.         12365.93986694],[  0.        137.6483673],[  0.         -11.10192755]
25.400000000001175,[   0.         3769.55773393],[ 0.         41.92139979],[ 0.         -3.38212165],0.3447626554536188,0.1222198244606414,[    0.         12367.31579579],[  0.         137.53740529],[  0.         -11.09619999]
25.410000000001173,[   0.         3769.97677891],[ 0.         41.88759601],[ 0.         -3.38037832],0.3445849459734964,0.12212127116618075,[    0.         12368.69061532],[  0.         137.42650049],[  0.         -11.09048041]
25.420000000001174,[   0.         3770.39548594],[ 0.         41.85380963],[ 0.         -3.37863742],0.3444074841997961,0.12202276860058307,[    0.         12370.06432609],[  0.         137.31565279],[  0.         -11.08476879]
25.43000000000118,[   0.         3770.81385519],[ 0.         41.82004064],[ 0.         -3.37689894],0.3442302691131498,0.12192431673469388,[    0.         12371.43692866],[  0.         137.20486213],[  0.         -11.07906512]
25.440000000001177,[   0.         3771.23188684],[ 0.         41.78628902],[ 0.         -3.37516288],0.34405330071355755,0.12182591551020408,[    0.         12372.80842362],[  0.         137.09412847],[  0.         -11.07336938]
25.45000000000118,[   0.         3771.64958106],[ 0.         41.75255472],[ 0.         -3.37342924],0.34387657900101937,0.1217275647813411,[    0.         12374.17881152],[  0.         136.98345163],[  0.         -11.06768159]
25.460000000001177,[   0.         3772.06693802],[ 0.         41.71883774],[ 0.         -3.37169802],0.3437001039755352,0.12162926454810495,[    0.         12375.54809293],[  0.         136.87283161],[  0.         -11.06200173]
25.470000000001182,[   0.        3772.4839579],[ 0.         41.68513805],[ 0.        -3.3699692],0.343523873598369,0.12153101472303207,[    0.         12376.91626844],[  0.         136.76226832],[  0.         -11.05632975]
25.480000000001183,[   0.         3772.90064086],[ 0.         41.65145562],[ 0.         -3.36824279],0.3433478888888889,0.1214328152186589,[    0.         12378.28333856],[  0.         136.65176166],[  0.         -11.05066568]
25.490000000001178,[   0.        3773.3169871],[ 0.         41.61779044],[ 0.         -3.36651879],0.3431721498470948,0.1213346660058309,[    0.         12379.64930396],[  0.         136.54131159],[  0.         -11.04500951]
25.500000000001197,[   0.         3773.73299676],[ 0.         41.58414246],[ 0.         -3.36479718],0.3429966544342508,0.12123656693877552,[    0.         12381.01416509],[  0.         136.43091795],[  0.         -11.03936118]
25.51000000000119,[   0.         3774.14867003],[ 0.         41.55051168],[ 0.         -3.36307796],0.3428214026503568,0.12113851801749273,[    0.         12382.37792258],[  0.         136.32058074],[  0.         -11.03372069]
25.520000000001197,[   0.         3774.56400708],[ 0.         41.51689807],[ 0.         -3.36136114],0.3426463955147808,0.12104051915451895,[    0.         12383.74057699],[  0.         136.21029986],[  0.         -11.02808808]
25.53000000000119,[   0.         3774.97900808],[ 0.         41.48330161],[ 0.        -3.3596467],0.3424716309887869,0.1209425702915452,[    0.         12385.10212887],[  0.         136.10007525],[  0.         -11.02246328]
25.540000000001196,[   0.        3775.3936732],[ 0.         41.44972226],[ 0.         -3.35793465],0.3422971100917431,0.12084467131195335,[    0.         12386.46257878],[  0.         135.98990678],[  0.         -11.01684632]
25.550000000001198,[   0.         3775.80800261],[ 0.         41.41616001],[ 0.         -3.35622497],0.3421228307849133,0.12074682218658893,[    0.         12387.82192728],[  0.         135.87979441],[  0.         -11.01123713]
25.560000000001196,[   0.         3776.22199648],[ 0.         41.38261483],[ 0.         -3.35451768],0.34194879510703363,0.12064902282798835,[    0.         12389.18017493],[  0.         135.76973804],[  0.         -11.00563579]
25.570000000001198,[   0.         3776.63565499],[ 0.         41.34908671],[ 0.         -3.35281275],0.341775,0.12055127320699707,[    0.         12390.53732232],[  0.         135.65973764],[  0.         -11.00004218]
25.580000000001196,[   0.        3777.0489783],[ 0.        41.3155756],[ 0.        -3.3511102],0.3416014475025484,0.12045357317784255,[    0.         12391.89336997],[  0.         135.54979305],[  0.         -10.99445639]
25.590000000001197,[   0.         3777.46196659],[ 0.        41.2820815],[ 0.      -3.34941],0.3414281345565749,0.12035592274052476,[    0.         12393.24831847],[  0.         135.43990427],[  0.        -10.9888783]
25.600000000001195,[   0.         3777.87462002],[ 0.         41.24860438],[ 0.         -3.34771217],0.34125506320081544,0.12025832180758017,[    0.         12394.60216835],[  0.         135.33007119],[  0.       -10.983308]
25.610000000001197,[   0.         3778.28693876],[ 0.         41.21514421],[ 0.        -3.3460167],0.3410822324159021,0.1201607702915452,[    0.         12395.95492016],[  0.         135.22029373],[  0.         -10.97774543]
25.6200000000012,[   0.         3778.69892299],[ 0.         41.18170098],[ 0.         -3.34432358],0.3409096411824669,0.12006326816326532,[    0.        12397.3065745],[  0.         135.11057184],[  0.         -10.97219057]
25.63000000000121,[   0.         3779.11057286],[ 0.         41.14827465],[ 0.         -3.34263281],0.3407372895005097,0.11996581530612245,[    0.         12398.65713186],[  0.        135.0009054],[  0.         -10.96664343]
25.640000000001212,[   0.         3779.52188856],[ 0.         41.11486521],[ 0.         -3.34094439],0.34056517737003056,0.11986841169096207,[    0.         12400.00659286],[  0.         134.89129438],[  0.         -10.96110399]
25.65000000000121,[   0.         3779.93287025],[ 0.         41.08147262],[ 0.         -3.33925831],0.34039330377166155,0.11977105720116618,[    0.         12401.35495803],[  0.         134.78173863],[  0.         -10.95557223]
