,Chamber Pressure [psia],O/F Ratio,Exit Pressure [psia],gamma,Exit Velocity [m/s],Thrust Coefficient
243,58.8,3.3,1.8645948945615982,1.3364,1571.5242,1.4402
244,73.5,3.3,2.3327408912022345,1.3359,1572.6917000000003,1.4402
245,88.2,3.3,2.801778907242694,1.3353,1573.8579999999997,1.4402
246,102.9,3.3,3.2717560649899844,1.3348,1575.0230999999999,1.4402
247,117.6,3.3,3.742600725606263,1.3343,1576.1870000000001,1.4401
248,132.3,3.3,4.2141810537045306,1.3337,1577.3497000000002,1.4401
249,147.0,3.3,4.686453916536487,1.3332,1578.5112000000001,1.4401
250,161.7,3.3,5.15970515970516,1.3327,1579.3860000000002,1.4401
251,176.4,3.3,5.633442978954428,1.3322,1581.099,1.4401
252,191.0,3.3,6.1047719500111866,1.3317,1581.9722,1.4401
253,205.7,3.3,6.579873328641801,1.3313,1582.8444,1.4401
254,220.4,3.3,7.055509315577182,1.3308,1583.7155999999998,1.4401
255,235.1,3.3,7.531635431683485,1.3304,1584.5857999999998,1.4401
256,249.8,3.3,8.008463708643243,1.33,1586.0113,1.4401
257,264.5,3.3,8.48599570085662,1.3296,1586.8799999999999,1.44
258,279.2,3.3,8.96365737768075,1.3292,1587.4628000000002,1.44
259,293.9,3.3,9.442266915119191,1.3288,1588.3296,1.44
260,308.6,3.3,9.920915578987977,1.3284,1589.4688,1.44
261,323.3,3.3,10.400180145403077,1.328,1590.0495,1.44
262,338.0,3.3,10.880061803901372,1.3277,1591.1883,1.44
263,352.7,3.3,11.360195832125486,1.3273,1591.7677999999999,1.44
264,14.7,3.5,0.4754358161648177,1.326,1628.1818,1.44
265,29.4,3.5,0.9509023869590529,1.326,1628.1818,1.44
266,44.1,3.5,1.42639971536695,1.326,1628.4660000000001,1.44
267,58.8,3.5,1.9019893255701115,1.3259,1628.4660000000001,1.44
268,73.5,3.5,2.377640474881118,1.3259,1628.4660000000001,1.44
269,88.2,3.5,2.8533531752450583,1.3259,1628.7502000000002,1.44
270,102.9,3.5,3.3291274386101137,1.3258,1628.7502000000002,1.44
271,117.6,3.5,3.8050863909920403,1.3258,1629.0344000000002,1.44
272,132.3,3.5,4.281137753616155,1.3257,1629.0344000000002,1.44
273,147.0,3.5,4.757281553398059,1.3257,1629.3185999999998,1.44
274,161.7,3.5,5.233687208700155,1.3256,1629.6028,1.44
275,176.4,3.5,5.710216237213518,1.3255,1629.0294000000001,1.44
276,191.0,3.5,6.183631183631183,1.3254,1629.3135000000002,1.44
277,205.7,3.5,6.66040668307214,1.3254,1629.5976000000003,1.44
278,220.4,3.5,7.137536837332815,1.3253,1629.8817000000001,1.44
279,235.1,3.5,7.614821532681221,1.3252,1630.1658,1.44
280,249.8,3.5,8.09226084421264,1.3251,1630.4499,1.44
281,264.5,3.5,8.56985484707102,1.325,1630.7340000000002,1.44
282,279.2,3.5,9.04789681768099,1.3249,1630.444,1.4399
283,293.9,3.5,9.525815966032475,1.3248,1630.728,1.4399
284,308.6,3.5,10.004214348234838,1.3247,1631.0119999999997,1.4399
285,323.3,3.5,10.48279887163192,1.3246,1631.2959999999998,1.4399
286,338.0,3.5,10.96156964488406,1.3245,1631.58,1.4399
287,352.7,3.5,11.44052677673619,1.3244,1631.2894000000001,1.4399
288,14.7,3.7,0.4849724522450595,1.3162,1678.868,1.4397
289,29.4,3.7,0.9699769053117783,1.3162,1678.868,1.4397
290,44.1,3.7,1.4549653579676676,1.3162,1678.868,1.4397
291,58.8,3.7,1.9399538106235565,1.3162,1678.868,1.4397
292,73.5,3.7,2.4250222706126894,1.3162,1678.868,1.4397
293,88.2,3.7,2.910026724735227,1.3161,1678.868,1.4397
294,102.9,3.7,3.3951431965157717,1.3161,1678.868,1.4397
295,117.6,3.7,3.8801636531608814,1.3161,1678.868,1.4397
296,132.3,3.7,4.3653281420133965,1.3161,1678.868,1.4397
297,147.0,3.7,4.850364602237107,1.3161,1678.868,1.4397
298,161.7,3.7,5.335577113442882,1.3161,1678.868,1.4397
299,176.4,3.7,5.820629578301326,1.3161,1679.1504,1.4397
300,191.0,3.7,6.302590331628444,1.3161,1679.1504,1.4397
301,205.7,3.7,6.787882787750792,1.3161,1679.1504,1.4397
302,220.4,3.7,7.2729672650475194,1.3161,1679.1504,1.4397
303,235.1,3.7,7.758307758307758,1.316,1679.1504,1.4397
304,249.8,3.7,8.243680285129695,1.316,1679.1504,1.4397
305,264.5,3.7,8.728796779090489,1.316,1679.1504,1.4397
306,279.2,3.7,9.214217352562622,1.316,1679.1504,1.4397
307,293.9,3.7,9.699669966996698,1.316,1678.5558,1.4397
308,308.6,3.7,10.1851546255652,1.316,1678.8381000000002,1.4397
309,323.3,3.7,10.67067133144102,1.316,1678.8381000000002,1.4397
310,338.0,3.7,11.156220087797472,1.3159,1678.8381000000002,1.4397
311,352.7,3.7,11.641800897808292,1.3159,1678.8381000000002,1.4397
312,14.7,3.9,0.4938520459584761,1.3077,1721.8656,1.4395
313,29.4,3.9,0.9877040919169522,1.3077,1721.8656,1.4395
314,44.1,3.9,1.4816059129850496,1.3077,1721.8656,1.4395
315,58.8,3.9,1.9754745506467326,1.3077,1721.8656,1.4395
316,73.5,3.9,2.469343188308416,1.3077,1721.8656,1.4395
317,88.2,3.9,2.9632118259700992,1.3077,1721.8656,1.4395
318,102.9,3.9,3.4570804636317822,1.3077,1721.8656,1.4395
319,117.6,3.9,3.951081843838194,1.3077,1721.8656,1.4395
320,132.3,3.9,4.444967074317969,1.3076,1721.8656,1.4395
321,147.0,3.9,4.938852304797742,1.3076,1721.8656,1.4395
322,161.7,3.9,5.432737535277516,1.3076,1721.8656,1.4395
323,176.4,3.9,5.926622765757291,1.3076,1721.8656,1.4395
324,191.0,3.9,6.41736384101065,1.3076,1721.8656,1.4395
325,205.7,3.9,6.911265665423512,1.3076,1721.8656,1.4395
326,220.4,3.9,7.405167489836374,1.3076,1721.8656,1.4395
327,235.1,3.9,7.899069314249235,1.3076,1721.8656,1.4395
328,249.8,3.9,8.392971138662098,1.3076,1721.8656,1.4395
329,264.5,3.9,8.887171561051005,1.3076,1721.8656,1.4395
330,279.2,3.9,9.381089980512062,1.3076,1721.8656,1.4395
331,293.9,3.9,9.875008399973119,1.3076,1721.8656,1.4395
332,308.6,3.9,10.36892681943418,1.3076,1722.1463999999999,1.4395
333,323.3,3.9,10.863210241591345,1.3076,1722.1463999999999,1.4395
334,338.0,3.9,11.35714525721582,1.3076,1722.1463999999999,1.4395
335,352.7,3.9,11.851080272840294,1.3076,1722.1463999999999,1.4395
336,14.7,4.1,0.5020491803278688,1.3002,1758.823,1.4392
337,29.4,4.1,1.0041669512944873,1.3002,1759.1024,1.4392
338,44.1,4.1,1.5062504269417312,1.3002,1759.1024,1.4392
339,58.8,4.1,2.0083339025889746,1.3002,1759.1024,1.4392
340,73.5,4.1,2.5105031253202172,1.3002,1759.1024,1.4392
341,88.2,4.1,3.012603750384261,1.3002,1759.1024,1.4392
342,102.9,4.1,3.514704375448304,1.3002,1759.1024,1.4392
343,117.6,4.1,4.016805000512347,1.3002,1759.1024,1.4392
344,132.3,4.1,4.518905625576391,1.3002,1759.1024,1.4392
345,147.0,4.1,5.021177756524115,1.3002,1759.1024,1.4392
346,161.7,4.1,5.523295532176527,1.3002,1759.1024,1.4392
347,176.4,4.1,6.025413307828939,1.3002,1759.3818,1.4392
348,191.0,4.1,6.524115316300041,1.3002,1759.3818,1.4392
349,205.7,4.1,7.026233091952452,1.3002,1759.3818,1.4392
